"Name","ID","n_actions","eval/final_error.mean","ent_coef","Runtime","GitHub","Notes","State","Tags","actor_logstd","batch_size","exp_name","learning_rate","minibatch_size","num_steps","total_timesteps","alpha","autotune","buffer_size","exploration_noise","learning_starts","noise_clip","policy_frequency","policy_lr","q_lr","target_network_frequency","tau","norm_reward","cuda","policy_noise","rpo_alpha","SPS","episodic_return","final_error","final_error_parallel","global_step","initial_error","initial_error_parallel","losses/approx_kl","losses/clipfrac","losses/entropy","losses/explained_variance","losses/old_approx_kl","losses/policy_loss","losses/value_loss","update","charts/SPS","losses/actor_loss","losses/alpha","losses/alpha_loss","losses/qf1_loss","losses/qf1_values","losses/qf2_loss","losses/qf2_values","losses/qf_loss","episodic_length","init_max_dev","max_dev","eval/final_error","eval/init_max_dev","eval/initial_error","eval/max_dev","eval/reward","eval/step","eval/final_error.max","eval/max_dev.max","eval/max_dev.mean"
"FuselageActuators-v22__ppo_FuselageActuators_v22_surrogate__1__1687277608","1s6mr4pf","10","0.06147444101652276","0.01","53048","https://github.com/otlutz/Fuselage-Actuator-RL/tree/f11d169b365500783db7f6b775f9da0681bb9f30","-","finished","","1","192","ppo_FuselageActuators_v22_surrogate","0.00001","16","16","32768000","","","","","","","","","","","","false","false","","","628","0.7270562241173191","0.12833884880454885","","32767692","0.6993069371425262","","0.4049226939678192","0.24479166666666663","-26.052059173583984","0.7554142624139786","0.4651740789413452","0.029371894896030423","0.017141951248049736","170666","","","","","","","","","","","1.4378785772881546","0.28998994620802504","","1.017472731725031","0.5244392241878096","","0.8902932162005984","99","0.17290917513880233","0.38271739155557216","0.15449712973545263"
"FuselageActuators-v22__ppo_FuselageActuators_v22_surrogate_annealActorStd_sqrt__1__1684804181","3e1nfbiz","10","0.016641607921168367","0","55028","https://github.com/otlutz/AssemblyGym/tree/b7c07b65d7922ffbdff4cf94e0e7c53f0d25199c","-","finished","","1","192","ppo_FuselageActuators_v22_surrogate_annealActorStd_sqrt","0.00001","16","16","32768000","","","","","","","","","","","","false","false","","","606","0.9331572146666726","0.027629437387338057","","32767692","0.6993069371425262","","0","0","-64.88634490966797","0.6625588536262512","-0.00000858306884765625","-0.0000016391277313232422","0.001840543234720826","170666","","","","","","","","","","","1.4378785772881546","0.070381006767932","","1.017472731725031","0.5244392241878096","","0.9684867772302228","99","0.0414388564106484","0.10451392085764456","0.04937560011088099"
"FuselageActuators-v22__ppo_FuselageActuators_v22_surrogate_annealActorStd__1__1684504538","305a4xh1","10","0.12023767821610012","0","54953","https://github.com/otlutz/AssemblyGym/tree/40d5825b2fa9bfe327e588ed5d6ed9212a6d8d9b","-","finished","","1","192","ppo_FuselageActuators_v22_surrogate_annealActorStd","0.00001","16","16","32768000","","","","","","","","","","","","false","false","","","605","0.6465958842203028","0.15263523332112264","","32767692","0.6993069371425262","","0.00001539289951324463","0","-173.31346130371094","0.526243269443512","0.0005712509155273438","0.0025663990527391434","0.007037584204226732","170666","","","","","","","","","","","1.4378785772881546","0.34164548744205286","","1.017472731725031","0.5244392241878096","","0.6966822752310966","99","0.34049284390324325","0.7132872637844031","0.29282478592118466"
"FuselageActuators-v22__ppo_FuselageActuators_v22_surrogate__1__1684422188","3c4umcd8","10","3.1667853637065435","-0.1","53678","https://github.com/otlutz/AssemblyGym/tree/40d5825b2fa9bfe327e588ed5d6ed9212a6d8d9b","-","finished","","1","192","ppo_FuselageActuators_v22_surrogate","0.00001","16","16","32768000","","","","","","","","","","","","false","false","","","620","-1","2.95867642633784","","32767692","0.6993069371425262","","13050467844096","0.9778645833333334","-296.063720703125","0.9096746146678923","13050467844096","0.2948777377605438","0.00000919239391805604","170666","","","","","","","","","","","1.4378785772881546","6.145063445380857","","1.017472731725031","0.5244392241878096","","-1","99","4.727149213491418","9.845991335510636","6.584707245337013"
"FuselageActuators-v22__ppo_FuselageActuators_v22_surrogate__1__1684328106","2ojwefjw","10","0.03561751468301064","-0.01","53882","https://github.com/otlutz/AssemblyGym/tree/40d5825b2fa9bfe327e588ed5d6ed9212a6d8d9b","-","finished","","1","192","ppo_FuselageActuators_v22_surrogate","0.00001","16","16","32768000","","","","","","","","","","","","false","false","","","619","0.9195581699434524","0.0429622447966308","","32767692","0.6993069371425262","","0.0014326907694339752","0.045572916666666664","-61.707916259765625","0.8775833994150162","-0.006410837173461914","-0.0076249949634075165","0.0003913490800186992","170666","","","","","","","","","","","1.4378785772881546","0.11602575419445944","","1.017472731725031","0.5244392241878096","","0.9098008729415252","99","0.07901558234820066","0.23231304592534183","0.10018194546748826"
"FuselageActuators-v22__ppo_FuselageActuators_v22_surrogate__1__1684176242","27e6khf3","10","0.0389670343525215","0","59135","https://github.com/otlutz/AssemblyGym/tree/40d5825b2fa9bfe327e588ed5d6ed9212a6d8d9b","-","finished","","1","192","ppo_FuselageActuators_v22_surrogate","0.00001","16","16","32768000","","","","","","","","","","","","false","false","","","563","0.7881012707732621","0.08614993952225634","","32767692","0.6993069371425262","","0.09027401357889175","0.2890625","-44.63078308105469","0.6181735098361969","0.021854877471923828","0.0206601545214653","0.0024770458694547415","170666","","","","","","","","","","","1.4378785772881546","0.1958277692802184","","1.017472731725031","0.5244392241878096","","0.9073873102522388","99","0.134221538324515","0.30232228193211075","0.10535133507281584"
